x_um,depth_um,optical_generation_cm^-3_s^-1
-55.0,6.5,15840633.76653843
-55.0,6.7,10404678.528128404
-55.0,6.9,12405969.853153866
-55.0,7.1,8846107.386931831
-55.0,7.3,11598401.476944704
-55.0,7.5,45447828.888151176
-55.0,7.7,22119039.508077692
-55.0,7.9,28398953.665916204
-55.0,8.1,8276076.867446531
-55.0,8.3,5463860.939946086
-55.0,8.5,16669508.522974448
-55.0,8.7,2965169.3402440525
-55.0,8.9,7888036.7744653355
-55.0,9.1,29026077.74232799
-55.0,9.3,7798474.556697569
-55.0,9.5,25143791.29214199
-55.0,9.7,66440835.628841266
-55.0,9.9,65755637.5249085
-55.0,10.1,33630141.391703494
-55.0,10.3,78668812.35868402
-55.0,10.5,64328298.601746365
-55.0,10.7,49978508.08456834
-55.0,10.9,67837893.09479602
-55.0,11.1,33125651.56042046
-55.0,11.3,16310467.73334627
-55.0,11.5,29205956.386013143
-55.0,11.7,35096322.034571216
-55.0,11.9,16226826.049553046
-55.0,12.1,31545660.907774586
-55.0,12.3,25323896.198272035
-55.0,12.5,42338077.845624335
-55.0,12.7,55923930.928048894
-55.0,12.9,19428266.17682959
-55.0,13.1,17506981.252316177
-55.0,13.3,23084437.252717774
-55.0,13.5,112794694.76713492
-55.0,13.7,27906998.774079908
-55.0,13.9,22008020.06845314
-55.0,14.1,12690344.035969334
-55.0,14.3,42127125.8261747
-55.0,14.5,21891457.198928855
-55.0,14.7,24088918.06367134
-55.0,14.9,40035518.07523184
-55.0,15.1,43958230.08223766
-55.0,15.3,42285019.30229834
-55.0,15.5,58250021.99270965
-55.0,15.7,35393706.307967685
-55.0,15.9,21370627.448084235
-55.0,16.1,19468563.51826397
-55.0,16.3,21861024.90009156
-55.0,16.5,31561650.120546598
-55.0,16.7,37471662.89140235
-55.0,16.9,31831543.506889306
-55.0,17.1,41947963.68023168
-55.0,17.3,34642778.96379523
-55.0,17.5,55371096.35437501
-55.0,17.7,58104195.84697998
-55.0,17.9,146373022.0589593
-55.0,18.1,104755778.65233746
-55.0,18.3,52377531.07729765
-55.0,18.5,63085363.571167156
-55.0,18.7,78019250.58982095
-55.0,18.9,44527770.3664257
-55.0,19.1,62121749.52880092
-55.0,19.3,88087476.8624024
-55.0,19.5,46903820.17891748
-55.0,19.7,29265010.884128653
-55.0,19.9,27751971.288924836
-55.0,20.1,51961962.38685521
-55.0,20.3,26373188.286435466
-55.0,20.5,41934915.879243195
-55.0,20.7,88862689.70899272
-55.0,20.9,36777753.68334143
-55.0,21.1,43258739.73386951
-55.0,21.3,73438944.49715857
-55.0,21.5,69252425.56357753
-55.0,21.7,30784664.884804662
-55.0,21.9,56186998.73063753
-55.0,22.1,36398349.27367342
-55.0,22.3,18314323.36608045
-55.0,22.5,45984108.59294084
-55.0,22.7,37703619.607819006
-55.0,22.9,47202117.044175
-55.0,23.1,76120984.09803402
-55.0,23.3,60520377.07511323
-55.0,23.5,25071613.572223037
-55.0,23.7,31593477.704460703
-55.0,23.9,16058599.921779567
-55.0,24.1,98526019.3364489
-55.0,24.3,45804079.10762576
-55.0,24.5,15563877.086034155
-55.0,24.7,28073135.74527893
-55.0,24.9,38456206.20992063
-55.0,25.1,49515084.8870323
-55.0,25.3,55092039.339014396
-55.0,25.5,68567400.92751916
-55.0,25.7,53198298.09612522
-55.0,25.9,44689246.33126005
-55.0,26.1,50155211.511943586
-55.0,26.3,19343025.571759168
-55.0,26.5,18857805.758699007
-55.0,26.7,34706283.28999352
-55.0,26.9,48416957.82118076
-55.0,27.1,34694102.828377105
-55.0,27.3,116752779.13635807
-55.0,27.5,101599492.96697885
-55.0,27.7,25771292.472628582
-55.0,27.9,33803873.23896923
-55.0,28.1,36629928.886015266
-55.0,28.3,53673600.072017826
-55.0,28.5,24993138.21425473
-55.0,28.7,25452036.162893035
-55.0,28.9,16159852.365866495
-55.0,29.1,25371750.705365628
-55.0,29.3,29248097.76637335
-55.0,29.5,18831257.631832268
-55.0,29.7,48376720.816398345
-55.0,29.9,30089171.839629527
-55.0,30.1,50967010.99587213
-55.0,30.3,28662455.138190847
-55.0,30.5,25011390.051475618
-55.0,30.7,50160159.11740512
-55.0,30.9,38858877.94100452
-55.0,31.1,33924169.43883415
-55.0,31.3,12282656.820690455
-55.0,31.5,14320263.268120274
-55.0,31.7,41249302.960828125
-55.0,31.9,71113192.82616517
-55.0,32.1,74345125.58893098
-55.0,32.3,32767251.847719464
-55.0,32.5,15759669.521676367
-55.0,32.7,7366087.024518523
-55.0,32.9,2856073.13140104
-55.0,33.1,525192.8449901936
-55.0,33.3,382345.8214515382
-55.0,33.5,1083306.8757114445
-55.0,33.7,844713.1275781099
