# Geant4 3D energy deposition grid (sparse, non-zero cells only)
# NEvents: 100000
# xy_bin_mm: 0.01  z_bin_um: 0.2
x_mm,y_mm,depth_um,edep_eV
-0.0350,0.0250,36.300,4.8824e+02
-0.0350,0.0250,36.100,6.5101e+02
-0.0350,0.0250,35.500,3.7300e+03
-0.0350,0.0250,35.700,2.5583e+03
-0.0350,0.0250,35.900,1.2310e+03
0.0250,-0.0050,51.300,5.9048e+03
0.0050,0.0450,35.100,4.6967e+03
0.0050,0.0450,35.300,4.4237e+03
0.0050,0.0450,35.500,2.0497e+03
0.0350,0.0150,41.500,3.8218e+03
0.0350,0.0150,41.700,3.1774e+02
-0.0450,0.0250,10.500,4.2088e+03
-0.0450,0.0250,10.700,2.7132e+03
-0.0450,0.0250,11.300,5.4224e+01
-0.0450,0.0250,11.100,3.8451e+03
-0.0450,0.0250,10.900,3.2934e+03
0.0450,-0.0250,9.500,4.3833e+03
0.0450,-0.0250,9.700,1.1175e+04
0.0450,-0.0250,9.900,4.7508e+03
0.0450,-0.0250,10.100,1.0996e+04
0.0450,-0.0250,11.100,1.4847e+03
0.0450,-0.0250,11.300,2.4955e+04
0.0450,-0.0250,11.500,1.0240e+03
0.0450,-0.0250,11.900,5.5290e+03
0.0450,-0.0250,11.700,3.6192e+03
0.0250,-0.0450,10.900,1.1240e+04
0.0250,-0.0450,11.100,2.2971e+03
0.0250,-0.0450,11.300,1.9267e+03
0.0650,0.0250,0.300,8.1671e+03
0.0250,-0.0450,11.500,6.3713e+02
0.0250,-0.0450,11.700,1.4325e+03
0.0250,-0.0450,11.900,4.8059e+02
0.0250,-0.0450,12.100,1.8715e+03
0.0250,-0.0450,12.300,1.0154e+03
0.0250,-0.0450,13.700,1.7245e+03
0.0350,0.0250,30.900,1.6419e+03
0.0350,0.0250,31.100,3.3311e+03
0.0350,0.0250,31.300,2.1170e+03
0.0350,0.0250,31.500,1.2394e+04
-0.0350,0.0350,20.900,1.6658e+03
-0.0350,0.0350,21.100,6.3448e+03
-0.0350,0.0350,21.900,3.4140e+03
-0.0350,0.0350,21.300,1.4428e+04
-0.0350,0.0350,21.500,4.2094e+03
-0.0450,-0.0050,0.700,4.4970e+03
0.0550,-0.0050,14.900,4.0001e+03
-0.0450,-0.0050,0.900,9.2932e+03
0.0550,-0.0050,15.100,1.1137e+04
-0.0450,-0.0050,1.100,2.7134e+03
0.0550,-0.0050,15.300,1.6383e+03
-0.0450,-0.0050,1.300,1.8321e+03
0.0550,-0.0050,15.500,1.3238e+03
-0.0450,-0.0250,7.700,5.0566e+02
-0.0450,-0.0250,7.500,3.9536e+02
-0.0450,-0.0250,7.300,4.5032e+02
-0.0450,-0.0250,7.100,1.2921e+03
-0.0450,-0.0250,6.900,5.5265e+02
-0.0450,-0.0250,6.700,8.1728e+02
0.0350,0.0150,43.500,7.1740e+01
0.0350,0.0150,43.700,1.0412e+04
0.0350,0.0150,43.900,1.6602e+03
0.0350,0.0150,44.100,2.9263e+03
0.0350,0.0150,44.300,3.2796e+03
0.0350,0.0150,44.500,2.5270e+03
0.0350,0.0150,44.700,6.0460e+03
-0.0150,-0.0250,54.100,5.0782e+03
-0.0150,-0.0250,53.900,8.4564e+03
-0.0150,-0.0250,53.700,2.0168e+03
-0.0250,0.0350,37.900,2.8867e+02
-0.0450,-0.0150,20.700,7.0423e+03
-0.0450,-0.0150,20.500,2.2967e+03
-0.0450,-0.0150,20.300,8.3957e+02
-0.0450,-0.0150,20.100,4.2066e+03
-0.0450,-0.0150,19.900,5.7091e+03
0.0250,0.0250,47.300,6.3565e+03
0.0250,0.0250,47.100,1.7060e+04
0.0250,0.0250,46.900,1.3892e+04
0.0250,0.0250,46.700,3.9454e+03
0.0250,0.0250,46.500,2.0382e+03
0.0250,0.0250,46.300,3.6933e+02
0.0250,0.0250,46.100,1.4789e+03
0.0250,0.0250,45.900,3.1408e+03
0.0250,0.0250,45.700,1.4593e+03
0.0250,0.0250,45.500,1.1141e+03
0.0250,0.0250,45.300,4.7174e+02
0.0250,0.0250,45.100,7.6862e+02
0.0250,0.0250,44.900,1.0037e+03
0.0250,0.0250,42.100,1.7931e+03
-0.0150,0.0350,40.100,4.4394e+03
-0.0150,0.0350,40.300,8.7315e+03
-0.0150,0.0350,40.500,5.5184e+03
-0.0050,0.0350,39.900,9.9867e+03
-0.0150,0.0450,7.300,6.5791e+02
-0.0150,0.0450,7.500,7.1639e+02
-0.0150,0.0450,7.700,8.6396e+02
-0.0150,0.0450,7.900,5.0010e+03
-0.0150,0.0450,8.100,4.5902e+03
-0.0150,0.0450,8.300,1.6698e+03
-0.0150,0.0450,8.900,5.3722e+02
-0.0150,0.0450,9.100,1.7090e+03
-0.0150,0.0450,9.300,1.9453e+03
0.0450,0.0050,33.500,2.4392e+03
0.0450,0.0050,33.300,9.7992e+03
0.0450,0.0050,33.100,3.6757e+03
0.0450,0.0050,32.900,7.6191e+02
0.0450,0.0050,32.700,2.7911e+02
