source,source_label,thickness_um,nt,available,qc_pass,qc_reason,cce_percent,positive_peak_nA,negative_peak_nA,reverse_peak_ratio,dropped_initial_points
20kev,20 keV,180.0,5e13,True,True,,30.723071518014706,0.90626374726124,6.768214676e-05,7.46826152591205e-05,6
49kev,49 keV,5.0,0,True,True,,53.593818764789596,2.286861489489,0.00012573643100000003,5.4982092959244275e-05,6
49kev,49 keV,5.0,1e12,True,True,,53.59646955461476,2.286517368016,0.0001146698331,5.0150431701946115e-05,6
49kev,49 keV,5.0,1e13,True,True,,53.59036873147035,2.2833451461679997,0.0001216228649,5.326521270956881e-05,6
49kev,49 keV,5.0,2.5e13,True,True,,53.58226906616158,2.2774938697117997,0.00011902139959999999,5.225981118230684e-05,6
49kev,49 keV,5.0,5e13,True,True,,53.57031617958676,2.2661517501972,0.00011702433829999999,5.164011557911625e-05,6
49kev,49 keV,8.0,0,True,True,,80.82555174377977,2.9180889751431995,0.00012940452050000002,4.434563908170406e-05,6
49kev,49 keV,8.0,1e12,True,True,,80.82305329581345,2.9166164243082,0.00012934659739999998,4.4348168762260205e-05,6
49kev,49 keV,8.0,1e13,True,True,,80.80629794275427,2.9024403199786,0.00012709908034000002,4.379041989774216e-05,6
49kev,49 keV,8.0,2.5e13,True,True,,80.77769417633188,2.8762572365248005,0.00012465095816300003,4.333790336277707e-05,6
49kev,49 keV,8.0,5e13,True,True,,80.72718060069663,2.8301482024464,0.00012093448687000002,4.273079648813564e-05,6
49kev,49 keV,10.0,0,True,True,,91.40593931962258,3.1652435548576,0.00011963276459,3.7795753317751284e-05,6
49kev,49 keV,10.0,1e12,True,True,,91.40279425536482,3.163886740847,0.00011969488336,3.7831595491296455e-05,6
49kev,49 keV,10.0,1e13,True,True,,91.37209520811263,3.1496411818339998,0.0001172325039,3.7220907758050354e-05,6
49kev,49 keV,10.0,2.5e13,True,True,,91.32038406963169,3.1204688026253997,0.00011220633449,3.595816577162875e-05,6
49kev,49 keV,10.0,5e13,True,True,,91.2248149500786,3.0679904983408,0.00010573287400999999,3.4463233855248695e-05,6
49kev,49 keV,20.0,0,True,True,,97.63235934107564,3.6144722302374,6.559037124e-05,1.8146597085819083e-05,6
49kev,49 keV,20.0,1e12,True,True,,97.61647111954902,3.6077147849075994,6.605145232999999e-05,1.830839084240183e-05,6
49kev,49 keV,20.0,1e13,True,True,,97.47665494155254,3.4998786590699997,6.796486365e-05,1.941920571270887e-05,6
49kev,49 keV,20.0,2.5e13,True,True,,97.20799135155721,3.2101286745968003,6.447352159000001e-05,2.0084404123799813e-05,6
49kev,49 keV,20.0,5e13,True,True,,96.58971456499265,2.7606470413696003,4.215664839999999e-05,1.5270568011144743e-05,6
49kev,49 keV,30.0,0,True,True,,97.61753356897198,3.4719962550568,5.4398452e-05,1.5667773811901784e-05,6
49kev,49 keV,30.0,1e12,True,True,,97.58980259045342,3.4416097363462,5.4294107709999996e-05,1.577578861909008e-05,6
49kev,49 keV,30.0,1e13,True,True,,97.33189714690073,3.0464552977138,6.068487497999999e-05,1.9919831098634764e-05,6
49kev,49 keV,30.0,2.5e13,True,True,,96.66862965660677,2.5647232703952003,6.11000208e-05,2.3823241090094312e-05,6
49kev,49 keV,30.0,5e13,True,True,,94.42312264282786,2.1934706109752,4.204628479999999e-05,1.9168838912004636e-05,6
49kev,49 keV,40.0,0,True,True,,97.64794552671296,3.135580346448,4.3566658700000004e-05,1.389428873967542e-05,6
49kev,49 keV,40.0,1e12,True,True,,97.60891181111487,3.095583701511,4.4291278999999996e-05,1.4307892556218322e-05,6
49kev,49 keV,40.0,1e13,True,True,,97.20873869812672,2.6775239152833996,5.25161222e-05,1.9613689312067817e-05,6
49kev,49 keV,40.0,2.5e13,True,True,,94.29903197234178,2.2683310982964002,4.36528106e-05,1.924446154830962e-05,6
49kev,49 keV,40.0,5e13,True,True,,80.87221565059238,1.9353371637461998,4.12350908e-05,2.130641191232122e-05,6
49kev,49 keV,50.0,0,True,True,,97.6644554121154,3.0199041030491998,3.5039182800000005e-05,1.1602746843722921e-05,6
49kev,49 keV,50.0,1e12,True,True,,97.61810925567319,2.9922038626423997,3.632570099999999e-05,1.2140115669766214e-05,6
49kev,49 keV,50.0,1e13,True,True,,97.07425641378448,2.6040755834923996,4.061479759999999e-05,1.5596627785100744e-05,6
49kev,49 keV,50.0,2.5e13,True,True,,83.49268942922163,2.1900145173348005,4.386875820000001e-05,2.003126365271191e-05,6
49kev,49 keV,50.0,5e13,True,True,,68.33220508868709,1.848768301947,4.286029500000001e-05,2.3183161975928728e-05,6
49kev,49 keV,60.0,0,True,True,,97.6121856397288,2.9254553257486,3.47277916e-05,1.1870901358274355e-05,6
49kev,49 keV,60.0,1e12,True,True,,97.56038880673222,2.9099188392218,3.446921180000001e-05,1.1845420337983762e-05,6
49kev,49 keV,60.0,1e13,True,True,,96.28317271961187,2.5477696880112606,4.159140704000001e-05,1.6324633751516785e-05,6
