nt,design_source,actual_source,design_thickness_um,actual_optimal_thickness_um,actual_cce_at_design_percent,actual_optimal_cce_percent,cce_loss_percent_point
5e13,100kev,156p5kev,30.0,130.0,29.55564538246465,34.266503082924885,4.7108577004602346
5e13,100kev,c14,30.0,30.0,81.71960768427569,81.71960768427569,0.0
5e13,156p5kev,20kev,130.0,10.0,33.56879173989909,73.54348782795945,39.97469608806036
5e13,156p5kev,49kev,130.0,20.0,44.41992850734949,96.58971456499265,52.16978605764316
5e13,156p5kev,100kev,130.0,30.0,45.300197110551046,66.87028042297358,21.570083312422533
5e13,156p5kev,156p5kev,130.0,130.0,34.266503082924885,34.266503082924885,0.0
5e13,156p5kev,c14,130.0,30.0,44.18151584175577,81.71960768427569,37.53809184251992
5e13,c14,20kev,30.0,10.0,71.32637017982357,73.54348782795945,2.2171176481358827
5e13,c14,49kev,30.0,20.0,94.42312264282786,96.58971456499265,2.166591922164784
5e13,c14,100kev,30.0,30.0,66.87028042297358,66.87028042297358,0.0
5e13,c14,156p5kev,30.0,130.0,29.55564538246465,34.266503082924885,4.7108577004602346
5e13,c14,c14,30.0,30.0,81.71960768427569,81.71960768427569,0.0
