x_um,depth_um,optical_generation_cm^-3_s^-1
-95.0,65.1,4641025.641025641
-95.0,65.3,2036030.9829059828
-95.0,65.5,798344.017094017
-95.0,65.7,324973.2905982906
-95.0,65.9,531570.5128205129
-95.0,66.1,92823.18376068377
-95.0,66.3,582077.9914529915
-95.0,66.5,2157077.9914529915
-95.0,66.7,1011057.6923076924
-95.0,66.9,681250.0
-95.0,67.1,680929.4871794871
-95.0,67.3,527670.9401709401
-95.0,67.5,49893.16239316239
-95.0,67.7,861244.6581196581
-95.0,67.9,592067.3076923076
-95.0,68.1,778071.5811965812
-95.0,68.3,324866.452991453
-95.0,68.5,826255.3418803419
-95.0,68.7,676308.7606837607
-95.0,68.9,1481677.3504273505
-95.0,69.1,7159455.128205128
-95.0,69.3,3871794.8717948715
-95.0,69.5,1268910.2564102563
-95.0,69.7,885603.6324786325
-95.0,69.9,1568135.6837606838
-95.0,70.1,1913755.3418803418
-95.0,70.3,35277777.777777776
-95.0,70.5,1305582.264957265
-95.0,70.7,3021100.427350427
-95.0,70.9,1572329.0598290598
-95.0,71.1,2131891.0256410255
-95.0,71.3,4143696.5811965815
-95.0,71.5,1389983.9743589743
-95.0,71.7,1134561.9658119658
-95.0,71.9,1082852.5641025642
-95.0,72.1,639636.7521367521
-95.0,72.3,2354326.923076923
-95.0,72.5,892548.076923077
-95.0,72.7,34927884.615384616
-95.0,72.9,6421474.358974358
-95.0,73.1,3146901.7094017095
-95.0,73.3,5226495.726495726
-95.0,73.5,217192.84188034185
