source,source_label,thickness_um,nt,available,qc_pass,qc_reason,cce_percent,positive_peak_nA,negative_peak_nA,reverse_peak_ratio,dropped_initial_points
20kev,20 keV,130.0,1e13,True,True,,54.52714816326434,1.37992944925464,2.473711236e-05,1.792636020150276e-05,6
20kev,20 keV,130.0,5e13,True,True,,33.56879173989909,0.94299954968116,1.7924951640000004e-05,1.9008441357220853e-05,6
49kev,49 keV,10.0,0,True,True,,91.40593931962258,3.1652435548576,0.00011963276459,3.7795753317751284e-05,6
49kev,49 keV,10.0,1e11,True,True,,91.40536298657324,3.1651100029138,0.0001205583092,3.808976910407981e-05,6
49kev,49 keV,10.0,1e12,True,True,,91.40279425536482,3.163886740847,0.00011969488336,3.7831595491296455e-05,6
49kev,49 keV,10.0,1e13,True,True,,91.37209520811263,3.1496411818339998,0.0001172325039,3.7220907758050354e-05,6
49kev,49 keV,10.0,5e13,True,True,,91.2248149500786,3.0679904983408,0.00010573287400999999,3.4463233855248695e-05,6
49kev,49 keV,20.0,0,True,True,,97.63235934107564,3.6144722302374,6.559037124e-05,1.8146597085819083e-05,6
49kev,49 keV,20.0,1e11,True,True,,97.63084197544752,3.6138661146102002,6.533647524e-05,1.8079384561552122e-05,6
49kev,49 keV,20.0,1e12,True,True,,97.61647111954902,3.6077147849075994,6.605145232999999e-05,1.830839084240183e-05,6
49kev,49 keV,20.0,1e13,True,True,,97.47665494155254,3.4998786590699997,6.796486365e-05,1.941920571270887e-05,6
49kev,49 keV,20.0,5e13,True,True,,96.58971456499265,2.7606470413696003,4.215664839999999e-05,1.5270568011144743e-05,6
49kev,49 keV,30.0,0,True,True,,97.61753356897198,3.4719962550568,5.4398452e-05,1.5667773811901784e-05,6
49kev,49 keV,30.0,1e11,True,True,,97.61484232692547,3.469201426643,5.353479532e-05,1.543144624260211e-05,6
49kev,49 keV,30.0,1e12,True,True,,97.58980259045342,3.4416097363462,5.4294107709999996e-05,1.577578861909008e-05,6
49kev,49 keV,30.0,1e13,True,True,,97.33189714690073,3.0464552977138,6.068487497999999e-05,1.9919831098634764e-05,6
49kev,49 keV,30.0,5e13,True,True,,94.42312264282786,2.1934706109752,4.204628479999999e-05,1.9168838912004636e-05,6
49kev,49 keV,40.0,0,True,True,,97.64794552671296,3.135580346448,4.3566658700000004e-05,1.389428873967542e-05,6
49kev,49 keV,40.0,1e11,True,True,,97.64400513484078,3.1319087714115996,4.363515489999999e-05,1.393244761734645e-05,6
49kev,49 keV,40.0,1e12,True,True,,97.60891181111487,3.095583701511,4.4291278999999996e-05,1.4307892556218322e-05,6
49kev,49 keV,40.0,1e13,True,True,,97.20873869812672,2.6775239152833996,5.25161222e-05,1.9613689312067817e-05,6
49kev,49 keV,40.0,5e13,True,True,,80.87221565059238,1.9353371637461998,4.12350908e-05,2.130641191232122e-05,6
49kev,49 keV,50.0,0,True,True,,97.6644554121154,3.0199041030491998,3.5039182800000005e-05,1.1602746843722921e-05,6
49kev,49 keV,50.0,1e11,True,True,,97.6598368957313,3.0164979737509996,3.4755659300000006e-05,1.1521857333383692e-05,6
49kev,49 keV,50.0,1e12,True,True,,97.61810925567319,2.9922038626423997,3.632570099999999e-05,1.2140115669766214e-05,6
49kev,49 keV,50.0,1e13,True,True,,97.07425641378448,2.6040755834923996,4.061479759999999e-05,1.5596627785100744e-05,6
49kev,49 keV,50.0,5e13,True,True,,68.33220508868709,1.848768301947,4.286029500000001e-05,2.3183161975928728e-05,6
49kev,49 keV,60.0,0,True,True,,97.6121856397288,2.9254553257486,3.47277916e-05,1.1870901358274355e-05,6
49kev,49 keV,60.0,1e11,True,True,,97.60696436902295,2.9233637309924,3.4632550500000006e-05,1.1846815410904488e-05,6
49kev,49 keV,60.0,1e12,True,True,,97.56038880673222,2.9099188392218,3.446921180000001e-05,1.1845420337983762e-05,6
