x_um,depth_um,optical_generation_cm^-3_s^-1
5.0,12.7,17370515313.390312
5.0,12.9,14831099358.97436
5.0,13.1,12624643874.643875
5.0,13.3,10972578347.578348
5.0,13.5,9540598290.598291
5.0,13.7,8037749287.749288
5.0,13.9,6504059829.059829
5.0,14.1,5414992877.492877
5.0,14.3,4568589743.589744
5.0,14.5,3490455840.4558406
5.0,14.7,2884009971.5099716
5.0,14.9,2132086894.5868945
5.0,15.1,1489280626.7806268
5.0,15.3,1142414529.9145298
5.0,15.5,966274928.7749288
5.0,15.7,855947293.4472934
5.0,15.9,593194444.4444444
5.0,16.1,439488960.1139601
5.0,16.3,260573361.8233618
5.0,16.5,222037037.03703704
5.0,16.7,224462250.7122507
5.0,16.9,204975071.22507122
5.0,17.1,93155270.65527065
5.0,17.3,81296296.2962963
5.0,17.5,84850427.35042734
5.0,17.7,18574430.199430197
5.0,24.3,3579059.829059829
5.0,24.5,3337642.45014245
5.0,27.9,166844.72934472933
5.0,28.7,120299.1452991453
15.0,0.1,532339743.58974355
15.0,0.3,767920227.9202279
15.0,0.5,698349715.0997151
15.0,0.7,925356125.3561254
15.0,0.9,911467236.4672364
15.0,1.1,967699430.1994302
15.0,1.3,1414169159.5441597
15.0,1.5,1545270299.1452992
15.0,1.7,1412780982.905983
15.0,1.9,1605782051.282051
15.0,2.1,1720940170.940171
15.0,2.3,1885078347.5783474
15.0,2.5,2288746438.7464385
15.0,2.7,2029665242.1652422
15.0,2.9,1999358974.3589742
15.0,3.1,2199679487.179487
15.0,3.3,2349002849.002849
15.0,3.5,2083857905.982906
15.0,3.7,2044123931.6239316
15.0,3.9,2025641025.6410255
15.0,4.1,2159722222.2222223
15.0,4.3,2191809116.809117
15.0,4.5,1875427350.4273503
15.0,4.7,2008725071.2250712
15.0,4.9,2093019943.019943
15.0,5.1,1724394586.8945868
15.0,5.3,1566702279.202279
15.0,5.5,1726621082.6210825
15.0,5.7,1810089818.3760684
15.0,5.9,1835826210.8262107
15.0,6.1,1937428774.9287748
15.0,6.3,1730876068.3760684
15.0,6.5,1602101139.6011395
15.0,6.7,1429309116.8091168
15.0,6.9,1370584045.5840456
15.0,7.1,1258511396.011396
15.0,7.3,1370085470.08547
15.0,7.5,1124893162.3931625
15.0,7.7,1068924857.5498575
15.0,7.9,1241431267.806268
15.0,8.1,1323829059.8290598
15.0,8.3,995512820.5128205
15.0,8.5,743835470.0854701
15.0,8.7,656891025.6410257
15.0,8.9,758853276.3532764
15.0,9.1,664964387.4643874
15.0,9.3,621324786.3247863
15.0,9.5,407852564.1025641
15.0,9.7,271185897.4358974
15.0,9.9,388404558.4045584
15.0,10.1,291452991.4529914
15.0,10.3,316887464.3874644
15.0,10.5,368386752.1367521
15.0,10.7,338254985.75498575
15.0,10.9,234818376.06837606
15.0,11.1,306103988.6039886
15.0,11.3,174383903.13390315
15.0,11.5,57505698.005698
15.0,11.7,64910612.53561254
15.0,11.9,51715099.715099715
15.0,12.1,5157692.307692308
15.0,12.3,8287393.162393162
15.0,12.5,41672008.547008544
15.0,12.7,82767806.26780626
15.0,12.9,23247863.247863248
15.0,13.1,23965028.49002849
15.0,13.3,3562678.0626780624
15.0,13.5,982264.9572649573
15.0,13.7,2016844.7293447296
15.0,15.5,29814458.689458687
15.0,28.9,63995.72649572649
15.0,37.3,143625.3561253561
15.0,49.5,15227564.1025641
15.0,49.7,18781695.156695154
15.0,50.5,22327991.452991452
15.0,50.7,6517806.267806268
15.0,50.9,4569800.56980057
25.0,18.7,23135327.635327633
25.0,18.9,8875356.125356125
25.0,19.5,143625.3561253561
25.0,25.7,29540954.41595442
25.0,33.1,94978.63247863248
25.0,41.5,192058.40455840455
25.0,55.5,26536680.91168091
25.0,65.1,15900284.900284901
25.0,65.3,20997150.997151
35.0,11.1,164636.75213675213
35.0,37.5,141524.21652421652
45.0,2.5,118198.00569800568
45.0,76.7,20871438.746438745
45.0,76.9,10197649.572649572
55.0,21.7,118411.68091168092
55.0,35.7,14691239.316239316
55.0,35.9,17812678.06267806
55.0,66.1,785719.3732193732
75.0,20.3,7511039.886039886
75.0,20.5,18885683.76068376
75.0,67.1,10506766.381766383
75.0,67.3,8110398.860398861
75.0,67.5,16246082.621082619
85.0,4.3,17415954.415954415
85.0,4.5,11252492.877492877
85.0,4.7,31537037.037037037
85.0,4.9,3106196.5811965815
105.0,34.5,25107905.982905984
105.0,34.7,6043803.418803418
105.0,34.9,13109686.60968661
105.0,35.1,8603632.478632478
