# Geant4 3D energy deposition grid (sparse, non-zero cells only)
# NEvents: 100000
# xy_bin_mm: 0.01  z_bin_um: 0.2
x_mm,y_mm,depth_um,edep_eV
0.0250,0.0150,65.300,5.8960e+03
0.0050,0.0050,5.700,2.3692e+07
-0.0050,-0.0150,7.300,1.3973e+05
-0.0150,0.0050,7.700,1.3216e+05
-0.0150,0.0150,0.700,1.9431e+04
-0.0050,-0.0050,0.300,1.4032e+07
0.0050,0.0050,4.900,2.5121e+07
-0.0150,-0.0050,4.700,3.6423e+05
-0.0050,-0.0150,7.100,1.6776e+05
-0.0150,0.0050,7.500,1.8399e+05
-0.0050,-0.0050,0.100,1.0353e+07
0.0050,0.0050,4.700,2.5385e+07
0.0050,0.0050,7.700,1.8681e+07
-0.0050,-0.0050,3.100,2.5252e+07
-0.0150,-0.0050,4.500,3.2368e+05
-0.0050,-0.0150,6.900,2.0013e+05
-0.0150,0.0050,7.300,2.1973e+05
0.0050,0.0050,7.500,1.9441e+07
-0.0050,-0.0050,2.900,2.5499e+07
0.0050,-0.0150,8.500,1.0073e+05
-0.0050,0.0050,8.900,1.4023e+07
-0.0150,-0.0050,4.300,3.0427e+05
-0.0050,-0.0150,6.700,2.3788e+05
-0.0150,0.0050,7.100,2.0057e+05
0.0050,0.0050,7.300,2.0006e+07
-0.0050,-0.0050,2.700,2.4397e+07
0.0050,-0.0150,8.300,9.2517e+04
-0.0050,0.0050,8.700,1.5032e+07
-0.0150,-0.0050,4.100,2.8586e+05
-0.0050,-0.0150,6.500,2.9624e+05
-0.0550,-0.0250,8.700,3.3220e+01
-0.0150,0.0050,6.900,2.1787e+05
0.0050,0.0050,7.100,2.0780e+07
-0.0050,-0.0050,2.500,2.3870e+07
0.0050,-0.0150,8.100,1.1397e+05
-0.0050,0.0050,8.500,1.5288e+07
-0.0150,-0.0050,3.900,3.3249e+05
-0.0050,-0.0150,6.300,2.4659e+05
-0.0150,0.0050,6.700,2.7424e+05
0.0050,0.0050,6.900,2.1200e+07
-0.0050,-0.0050,2.300,2.3980e+07
-0.0050,-0.0150,6.100,2.2555e+05
-0.0150,0.0050,6.500,1.9075e+05
0.0050,0.0050,6.700,2.1302e+07
-0.0050,-0.0050,2.100,2.3709e+07
0.0050,0.0050,6.500,2.2238e+07
-0.0050,-0.0050,1.900,2.2324e+07
0.0050,0.0050,6.300,2.2329e+07
-0.0050,-0.0050,1.700,2.1312e+07
-0.0250,0.0250,47.700,5.2753e+03
0.0050,0.0050,6.100,2.3151e+07
-0.0050,-0.0050,1.500,2.0795e+07
-0.0050,-0.0050,6.500,2.1140e+07
-0.0350,-0.0450,108.700,4.4464e+03
-0.0250,0.0250,47.500,8.0038e+03
0.0050,0.0050,5.900,2.3069e+07
-0.0050,-0.0050,1.300,1.9492e+07
0.0250,0.0150,65.100,4.4648e+03
0.0050,0.0050,5.500,2.3805e+07
-0.0150,0.0150,1.300,8.4508e+03
-0.0050,-0.0050,0.900,1.7890e+07
0.0050,0.0050,5.300,2.4491e+07
-0.0150,0.0150,1.100,7.3818e+02
-0.0050,0.0050,101.500,5.3728e+03
-0.0050,-0.0050,0.700,1.6475e+07
0.0050,0.0050,5.100,2.5054e+07
-0.0150,0.0150,0.900,2.5260e+03
-0.0050,-0.0050,0.500,1.5660e+07
0.0050,0.0050,4.500,2.5515e+07
0.0050,0.0050,4.300,2.6013e+07
0.0050,0.0050,4.100,2.6087e+07
0.0050,0.0050,3.900,2.6229e+07
0.0550,-0.0050,21.700,3.3250e+01
0.0050,0.0050,3.700,2.6317e+07
0.0050,0.0050,3.500,2.5608e+07
-0.0850,-0.0350,7.300,3.3949e+03
0.0050,0.0050,3.300,2.6028e+07
